,borough,number_of_cyclist_injured,number_of_cyclist_killed,vehicle_type_code1,vehicle_type_code2,latitude,longitude
0,MANHATTAN,1,0,TAXI,PEDICAB,40.7257771,-73.9866041
1,BROOKLYN,1,0,BICYCLE,GG,40.707783,-73.932076
2,MANHATTAN,1,0,BUS,PEDICAB,40.7592705,-73.9808868
3,QUEENS,1,0,BICYCLE,MOTORCYCLE,40.6950554,-73.8237981
4,MANHATTAN,1,0,PASSENGER VEHICLE,PEDICAB,40.7605247,-73.9799732
5,BRONX,1,0,BICYCLE,DS,40.813175,-73.89845
6,MANHATTAN,1,0,UNKNOWN,PEDICAB,40.7586447,-73.9813418
7,MANHATTAN,1,0,BICYCLE,TK,40.725773,-74.00091
8,QUEENS,1,0,BICYCLE,BU,40.59344,-73.79522
9,BRONX,1,0,BICYCLE,VN,40.812824,-73.923836
10,MANHATTAN,1,2,FB,BU,40.729046,-74.01073
11,BROOKLYN,1,0,BICYCLE,BU,40.709316,-73.93301
12,,0,1,BICYCLE,DS,40.71453,-73.9444
13,,1,0,BICYCLE,MOTORCYCLE,40.65487,-73.96191
14,,1,0,BICYCLE,MOTORCYCLE,40.704807,-74.01495
15,,1,0,PASSENGER VEHICLE,SCOOTER,40.770482,-73.8242231
16,,1,0,BICYCLE,BU,40.6996,-73.81061
17,,1,0,BICYCLE,BU,40.667095,-73.92276
18,,1,0,BICYCLE,PK,40.72657,-73.85265
19,,1,0,BICYCLE,BU,40.666397,-73.8831
20,,1,0,BICYCLE,MOTORCYCLE,40.584625,-73.94713
21,,1,0,BICYCLE,TK,40.687748,-73.96979
22,,1,0,BICYCLE,BU,40.74518,-73.982735
23,,1,0,BICYCLE,BU,40.778946,-73.96231
24,,1,0,BICYCLE,MOTORCYCLE,,
25,,1,0,BICYCLE,SCOOTER,,
26,,1,0,BICYCLE,VN,40.748333,-73.98256
27,,1,0,BICYCLE,MOTORCYCLE,,
28,,1,0,BICYCLE,MOTORCYCLE,40.710876,-74.01439
29,,2,0,PASSENGER VEHICLE,PEDICAB,,
30,MANHATTAN,1,0,BICYCLE,BU,40.74904,-73.98604
31,MANHATTAN,1,0,BICYCLE,DP,40.71972,-73.98281
32,MANHATTAN,1,0,BICYCLE,MOTORCYCLE,40.745426,-74.00825
33,MANHATTAN,1,0,PASSENGER VEHICLE,PEDICAB,40.7434293,-73.9961278
34,MANHATTAN,1,0,PASSENGER VEHICLE,PEDICAB,40.7534818,-73.9808885
35,MANHATTAN,3,0,LIVERY VEHICLE,PEDICAB,40.7656758,-73.9762353
36,MANHATTAN,1,0,PASSENGER VEHICLE,PEDICAB,40.7647907,-73.9842822
37,MANHATTAN,1,0,PASSENGER VEHICLE,PEDICAB,40.7651379,-73.9766182
38,MANHATTAN,1,0,TAXI,PEDICAB,40.7655201,-73.9800367
39,MANHATTAN,2,0,SPORT UTILITY / STATION WAGON,PEDICAB,40.7658813,-73.9946319
40,MANHATTAN,1,0,BICYCLE,MOTORCYCLE,40.768595,-73.9852164
41,MANHATTAN,1,0,PASSENGER VEHICLE,PEDICAB,40.7622939,-73.9744569
42,MANHATTAN,1,0,SPORT UTILITY / STATION WAGON,PEDICAB,40.7609899,-73.9733095
43,MANHATTAN,1,0,BICYCLE,MOTORCYCLE,40.800922,-73.9411
44,MANHATTAN,1,0,TAXI,PEDICAB,40.7572565,-73.9858217
45,MANHATTAN,1,0,TAXI,PEDICAB,40.7580218,-73.9817932
46,MANHATTAN,1,0,PASSENGER VEHICLE,PEDICAB,40.7560353,-73.9869481
47,MANHATTAN,1,0,BICYCLE,BU,40.754196,-73.982574
48,MANHATTAN,1,0,TAXI,PEDICAB,40.7580218,-73.9817932
49,QUEENS,1,0,BICYCLE,MOTORCYCLE,40.7458347,-73.8802844
50,QUEENS,1,0,BICYCLE,MOTORCYCLE,40.7385125,-73.868458
51,QUEENS,1,0,SPORT UTILITY / STATION WAGON,SCOOTER,40.6995843,-73.9022405
52,BROOKLYN,1,0,BICYCLE,BU,40.62318,-73.98611
53,BROOKLYN,1,0,BICYCLE,MOTORCYCLE,40.67689,-73.900055
