,station_id,name,short_name,latitude,longitude,region_id,rental_methods,capacity,eightd_has_key_dispenser,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,eightd_has_available_keys,last_reported
0,536,1 Ave & E 30 St,6079.03,40.74144387,-73.97536082,71,"CREDITCARD, KEY",7,False,6,1,0,0,False,False,False,False,2022-02-04 08:44:14+00:00
1,3184,Paulus Hook,JC002,40.7141454,-74.0335519,70,"CREDITCARD, KEY",14,False,12,0,2,0,False,False,False,False,2022-02-05 22:55:33+00:00
2,3268,Lafayette Park,JC078,40.71346382669195,-74.06285852193832,70,"CREDITCARD, KEY",14,False,12,0,2,0,False,False,False,False,2022-02-05 22:58:08+00:00
3,4655,Hudson St & 4 St,HB607,40.74097260864355,-74.02860336005688,311,"CREDITCARD, KEY",14,False,11,0,3,0,False,False,False,False,2022-02-05 23:18:16+00:00
4,3270,Jersey & 6th St,JC027,40.72528910781132,-74.04557168483734,70,"CREDITCARD, KEY",14,False,10,0,4,0,False,False,False,False,2022-02-05 23:09:29+00:00
5,3483,Montgomery St,JC099,40.71942,-74.05099,70,"CREDITCARD, KEY",14,False,9,0,5,0,False,False,False,False,2022-02-05 22:52:16+00:00
6,3275,Columbus Drive,JC014,40.71835519823214,-74.03891444206238,70,"CREDITCARD, KEY",14,False,8,0,6,0,False,False,False,False,2022-02-05 22:24:36+00:00
7,4522,Bloomfield St & 15 St,HB203,40.75453,-74.02658,311,"CREDITCARD, KEY",14,False,8,0,6,0,False,False,False,False,2022-02-05 23:38:08+00:00
8,3278,Monmouth and 6th,JC075,40.72568548362901,-74.04879033565521,70,"CREDITCARD, KEY",14,False,7,0,7,0,False,False,False,False,2022-02-05 23:25:03+00:00
9,3280,Astor Place,JC077,40.71928220070702,-74.07126188278198,70,"CREDITCARD, KEY",14,False,6,0,8,0,False,False,False,False,2022-02-05 22:54:54+00:00
10,3225,Baldwin at Montgomery,JC020,40.7236589,-74.0641943,70,"CREDITCARD, KEY",14,False,4,1,9,0,False,False,False,False,2022-02-05 23:43:51+00:00
11,3267,Morris Canal,JC072,40.7124188237569,-74.03852552175522,70,"CREDITCARD, KEY",14,False,4,0,9,1,False,False,False,False,2022-02-05 22:52:08+00:00
